\NEOWISESaturationBiasCorrection
\W1NEOWISEReactivation
|w1mpro,|,w1mcorr,|,w1lunc|,w1uunc|
|double,|,double|,double|,double|
|mag,|,mag,|,mag,|,mag,|
w1mpro,w1mcorr,w1lunc,w1uunc
2.776e+00,1.2241e+00,3.2951e-01,3.2364e-01
2.777e+00,1.2241e+00,3.2945e-01,3.2348e-01
2.778e+00,1.2240e+00,3.2940e-01,3.2332e-01
2.779e+00,1.2239e+00,3.2936e-01,3.2317e-01
2.780e+00,1.2238e+00,3.2932e-01,3.2301e-01
2.781e+00,1.2237e+00,3.2928e-01,3.2286e-01
2.782e+00,1.2237e+00,3.2924e-01,3.2270e-01
2.783e+00,1.2236e+00,3.2921e-01,3.2254e-01
2.784e+00,1.2235e+00,3.2918e-01,3.2239e-01
2.785e+00,1.2234e+00,3.2915e-01,3.2223e-01
2.786e+00,1.2234e+00,3.2913e-01,3.2208e-01
2.787e+00,1.2233e+00,3.2911e-01,3.2192e-01
2.788e+00,1.2232e+00,3.2910e-01,3.2177e-01
2.789e+00,1.2231e+00,3.2909e-01,3.2161e-01
2.790e+00,1.2231e+00,3.2908e-01,3.2146e-01
2.791e+00,1.2230e+00,3.2907e-01,3.2131e-01
2.792e+00,1.2229e+00,3.2907e-01,3.2116e-01
2.793e+00,1.2229e+00,3.2907e-01,3.2101e-01
2.794e+00,1.2228e+00,3.2907e-01,3.2086e-01
2.795e+00,1.2227e+00,3.2908e-01,3.2071e-01
2.796e+00,1.2227e+00,3.2909e-01,3.2056e-01
2.797e+00,1.2226e+00,3.2910e-01,3.2041e-01
2.798e+00,1.2225e+00,3.2912e-01,3.2027e-01
2.799e+00,1.2225e+00,3.2914e-01,3.2012e-01
2.800e+00,1.2224e+00,3.2916e-01,3.1998e-01
2.801e+00,1.2223e+00,3.2919e-01,3.1984e-01
2.802e+00,1.2223e+00,3.2921e-01,3.1970e-01
2.803e+00,1.2222e+00,3.2925e-01,3.1956e-01
2.804e+00,1.2222e+00,3.2928e-01,3.1942e-01
2.805e+00,1.2221e+00,3.2932e-01,3.1929e-01
2.806e+00,1.2221e+00,3.2936e-01,3.1915e-01
2.807e+00,1.2220e+00,3.2940e-01,3.1902e-01
2.808e+00,1.2219e+00,3.2945e-01,3.1889e-01
2.809e+00,1.2219e+00,3.2950e-01,3.1876e-01
2.810e+00,1.2218e+00,3.2955e-01,3.1863e-01
2.811e+00,1.2218e+00,3.2960e-01,3.1851e-01
2.812e+00,1.2217e+00,3.2966e-01,3.1839e-01
2.813e+00,1.2217e+00,3.2972e-01,3.1827e-01
2.814e+00,1.2216e+00,3.2978e-01,3.1815e-01
2.815e+00,1.2216e+00,3.2985e-01,3.1804e-01
2.816e+00,1.2215e+00,3.2992e-01,3.1792e-01
2.817e+00,1.2215e+00,3.2999e-01,3.1781e-01
2.818e+00,1.2214e+00,3.3006e-01,3.1770e-01
2.819e+00,1.2214e+00,3.3014e-01,3.1760e-01
2.820e+00,1.2213e+00,3.3022e-01,3.1750e-01
2.821e+00,1.2213e+00,3.3030e-01,3.1740e-01
2.822e+00,1.2212e+00,3.3039e-01,3.1730e-01
2.823e+00,1.2212e+00,3.3047e-01,3.1721e-01
2.824e+00,1.2212e+00,3.3056e-01,3.1711e-01
2.825e+00,1.2211e+00,3.3066e-01,3.1703e-01
2.826e+00,1.2211e+00,3.3075e-01,3.1694e-01
2.827e+00,1.2210e+00,3.3085e-01,3.1686e-01
2.828e+00,1.2210e+00,3.3095e-01,3.1678e-01
2.829e+00,1.2209e+00,3.3105e-01,3.1670e-01
2.830e+00,1.2209e+00,3.3116e-01,3.1663e-01
2.831e+00,1.2209e+00,3.3126e-01,3.1656e-01
2.832e+00,1.2208e+00,3.3137e-01,3.1650e-01
2.833e+00,1.2208e+00,3.3148e-01,3.1644e-01
2.834e+00,1.2207e+00,3.3160e-01,3.1638e-01
2.835e+00,1.2207e+00,3.3171e-01,3.1632e-01
2.836e+00,1.2207e+00,3.3183e-01,3.1627e-01
2.837e+00,1.2206e+00,3.3195e-01,3.1623e-01
2.838e+00,1.2206e+00,3.3208e-01,3.1618e-01
2.839e+00,1.2206e+00,3.3220e-01,3.1615e-01
2.840e+00,1.2205e+00,3.3233e-01,3.1611e-01
2.841e+00,1.2205e+00,3.3246e-01,3.1608e-01
2.842e+00,1.2205e+00,3.3259e-01,3.1605e-01
2.843e+00,1.2204e+00,3.3273e-01,3.1603e-01
2.844e+00,1.2204e+00,3.3287e-01,3.1601e-01
2.845e+00,1.2204e+00,3.3300e-01,3.1600e-01
2.846e+00,1.2203e+00,3.3314e-01,3.1599e-01
2.847e+00,1.2203e+00,3.3329e-01,3.1599e-01
2.848e+00,1.2202e+00,3.3343e-01,3.1599e-01
2.849e+00,1.2202e+00,3.3358e-01,3.1599e-01
2.850e+00,1.2202e+00,3.3373e-01,3.1600e-01
2.851e+00,1.2202e+00,3.3388e-01,3.1601e-01
2.852e+00,1.2201e+00,3.3403e-01,3.1602e-01
2.853e+00,1.2201e+00,3.3419e-01,3.1604e-01
2.854e+00,1.2201e+00,3.3434e-01,3.1607e-01
2.855e+00,1.2200e+00,3.3450e-01,3.1609e-01
2.856e+00,1.2200e+00,3.3466e-01,3.1612e-01
2.857e+00,1.2200e+00,3.3482e-01,3.1616e-01
